"(2, 2)",20,False
"(7, 4)",25,False
"(8, 6)",30,False
"(5, 3)",25,True
"(4, 2)",35,True
"(3, 5)",40,True
"(3, 5)",20,True
"(7, 2)",20,False
"(2, 3)",25,True
"(6, 3)",30,False
"(6, 1)",40,False
"(1, 4)",25,True
"(4, 3)",25,False
"(1, 2)",30,False
"(1, 5)",40,True
"(3, 5)",30,False
"(6, 6)",25,True
"(3, 5)",45,True
"(2, 5)",20,False
"(3, 6)",30,False
"(8, 5)",50,False
"(7, 2)",40,True
"(2, 6)",25,True
"(2, 6)",40,False
"(1, 1)",55,False
"(8, 3)",40,True
"(2, 1)",30,True
"(8, 4)",50,True
"(3, 5)",35,False
"(2, 4)",20,False
"(4, 1)",35,False
"(1, 6)",55,True
"(7, 1)",20,False
"(6, 1)",25,True
"(7, 6)",40,True
"(3, 1)",20,True
"(5, 1)",30,True
"(5, 4)",25,False
"(6, 3)",20,True
"(3, 5)",20,True
"(1, 1)",45,True
"(4, 5)",30,True
"(7, 3)",40,True
"(5, 1)",40,False
"(3, 3)",25,False
"(5, 4)",25,False
"(5, 1)",40,True
"(4, 1)",20,True
"(3, 6)",25,False
"(7, 2)",25,False
"(3, 2)",25,True
