"(8, 3)",20,False
"(4, 5)",25,False
"(3, 3)",25,False
"(6, 3)",25,False
"(5, 4)",25,False
"(1, 1)",25,False
"(8, 3)",20,True
"(4, 3)",30,True
"(3, 4)",25,True
"(1, 6)",35,True
"(4, 6)",35,True
"(4, 1)",30,True
"(4, 5)",40,True
"(3, 1)",20,False
"(5, 1)",25,False
"(6, 6)",20,False
"(8, 1)",35,True
"(5, 1)",30,True
"(4, 3)",25,True
"(7, 5)",40,True
"(3, 1)",20,False
"(2, 3)",35,False
"(2, 3)",40,True
"(1, 5)",45,True
"(1, 1)",25,True
"(2, 1)",25,True
"(2, 5)",25,False
"(3, 1)",35,True
"(6, 4)",20,True
"(8, 6)",50,True
"(1, 6)",40,False
"(2, 3)",30,True
"(3, 6)",25,False
"(8, 1)",30,True
"(2, 4)",30,False
"(8, 2)",25,True
"(7, 6)",30,True
"(5, 5)",25,True
"(8, 5)",25,False
"(5, 2)",25,False
"(1, 1)",30,True
"(3, 2)",20,False
"(8, 5)",55,False
"(8, 4)",35,True
"(5, 1)",25,True
"(1, 5)",40,True
"(4, 1)",25,False
"(7, 2)",35,True
"(2, 6)",20,False
"(3, 1)",35,False
"(6, 1)",35,True
"(2, 1)",20,False
"(7, 5)",30,False
"(5, 2)",20,True
"(7, 3)",35,False
"(8, 3)",40,False
"(6, 4)",20,True
"(1, 6)",50,True
"(4, 3)",20,True
"(2, 2)",40,True
"(5, 2)",35,True
"(8, 3)",35,False
"(1, 2)",55,True
"(1, 6)",35,True
"(7, 6)",25,False
"(6, 4)",20,False
"(8, 6)",55,True
"(3, 4)",20,True
"(5, 4)",30,True
"(1, 4)",30,False
"(1, 4)",40,False
"(6, 6)",40,True
"(5, 6)",35,True
"(4, 6)",40,True
"(2, 6)",20,False
"(1, 2)",20,True
"(1, 5)",20,True
"(3, 2)",25,False
"(6, 4)",20,False
"(4, 4)",20,True
"(1, 3)",35,False
"(8, 5)",30,True
"(5, 4)",30,True
"(1, 5)",40,True
"(5, 1)",35,True
"(2, 5)",20,False
"(7, 1)",25,False
"(5, 5)",35,True
"(2, 5)",35,False
"(6, 1)",25,False
"(8, 2)",30,False
"(8, 1)",20,True
"(5, 4)",25,False
"(1, 6)",45,False
"(6, 5)",25,False
"(5, 4)",20,True
"(8, 4)",25,True
"(1, 2)",25,True
"(3, 4)",25,True
"(3, 2)",25,True
